"Exports and imports of goods and services, quarterly, Canada, (NAPCS 2017) (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 12-10-0134-01"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trade","Imports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Building and packaging materials","17,000","17,561","17,738","16,837","17,512","16,970","17,350","17,663","17,066","17,599","17,787","17,445","17,328","17,324","17,070","16,976","17,272","16,925","16,713","16,947","17,222","17,488","18,066","18,049","17,810","17,924","17,857","17,367","17,482","17,654","17,411","17,141","16,821","15,225","17,386","18,823","19,302","19,124","18,880","18,831","18,307","19,593","19,100","18,125"
"Waste and scrap of wood, wood by-products, paper and paperboard","129","125","137","125","117","117","121","129","141","137","121","125","137","141","129","145","149","153","141","137","121","133","153","189","209","221","209","221","257","281","249","245","233","217","185","177","177","173","173","157","153","161","181","278"
"Industrial machinery, equipment and parts","52,648","52,879","53,217","51,344","51,145","51,792","51,234","51,625","52,137","53,487","54,245","54,454","53,040","50,482","49,000","49,715","47,155","45,187","53,185","44,689","47,236","47,820","49,934","51,884","51,850","52,966","53,222","53,121","52,697","52,210","51,255","49,085","46,728","36,787","44,006","48,007","49,499","51,566","50,828","51,007","53,101","57,596","57,979","56,319"
"Industrial machinery, equipment and parts","52,648","52,879","53,217","51,344","51,145","51,792","51,234","51,625","52,137","53,487","54,245","54,454","53,040","50,482","49,000","49,715","47,155","45,187","53,185","44,689","47,236","47,820","49,934","51,884","51,850","52,966","53,222","53,121","52,697","52,210","51,255","49,085","46,728","36,787","44,006","48,007","49,499","51,566","50,828","51,007","53,101","57,596","57,979","56,319"
"Electronic and electrical equipment and parts","57,895","56,704","57,155","57,761","58,019","62,319","62,081","60,763","59,256","59,980","61,444","60,652","61,719","58,948","60,447","56,842","58,094","58,902","59,422","59,993","62,505","63,673","63,215","66,429","67,566","68,510","70,259","67,809","68,831","69,881","68,625","68,070","63,750","58,343","69,794","73,378","75,953","74,876","76,147","81,224","83,515","85,248","85,697","81,011"
"Computers and computer peripherals","10,604","10,268","10,600","11,096","11,228","10,928","11,048","11,984","11,184","11,468","11,684","12,004","11,080","11,084","11,544","11,016","11,776","11,768","11,504","11,864","12,836","13,136","12,764","12,960","13,636","13,736","15,084","14,420","14,124","15,132","14,752","14,804","14,208","15,364","15,684","16,636","17,868","16,456","17,988","18,156","19,280","19,164","17,752","15,532"
"Communication, and audio and video equipment","14,252","13,844","13,792","14,268","14,244","17,428","15,560","15,804","14,588","14,892","15,620","14,824","18,192","15,024","17,308","14,228","14,840","14,796","16,112","15,900","18,424","19,048","18,952","21,624","20,916","22,204","22,476","21,180","22,620","21,652","20,620","20,316","17,500","14,932","22,444","23,408","23,092","21,984","20,580","25,536","24,764","23,824","25,380","26,348"
"Other electronic and electrical machinery, equipment and parts","33,034","32,590","32,762","32,406","32,554","34,142","35,390","33,028","33,390","33,549","34,119","33,741","32,794","32,831","31,897","31,577","31,553","32,359","31,973","32,361","31,878","32,215","32,192","33,045","33,954","33,836","34,052","33,310","33,531","34,228","34,119","33,793","32,354","28,360","33,365","35,072","36,461","37,407","38,100","39,267","40,783","42,931","43,530","40,830"
"Motor vehicles and parts","82,551","84,868","83,285","80,799","83,974","83,992","85,228","86,353","84,252","89,387","91,087","93,362","91,509","95,747","95,190","96,516","97,837","99,167","102,384","100,504","106,693","110,292","111,392","111,640","115,473","111,442","106,866","106,005","109,242","111,800","110,067","102,095","98,790","38,358","95,890","97,738","97,280","84,585","86,615","99,427","94,082","104,437","108,270","106,117"
"Passenger cars and light trucks","33,283","33,943","33,611","33,479","36,791","35,799","36,747","38,451","39,075","40,995","42,367","44,991","45,331","50,079","46,487","49,091","48,827","52,991","55,375","53,811","58,583","60,891","66,344","65,792","66,276","63,456","60,332","57,952","60,312","63,940","63,440","57,552","60,160","17,973","56,352","58,632","61,940","53,468","54,908","64,720","57,912","66,988","69,820","69,460"
