"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Trade","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","520727","","","","0"
"2017-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","533909","","","","0"
"2018-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","539293","","","","0"
"2018-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","548628","","","","0"
"2018-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","534552","","","","0"
"2018-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","527230","","","","0"
"2019-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","543436","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","539815","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","538397","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","526417","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","518853","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","420361","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","521588","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","534644","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","543426","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","541379","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","530493","","","","0"
"2021-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","553297","","","","0"
"2022-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","557102","","","","0"
"2022-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","590925","","","","0"
"2022-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","585936","","","","0"
"2022-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","566036","","","","0"
"2012-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","13475","","","","0"
"2012-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","13696","","","","0"
"2012-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14249","","","","0"
"2012-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14295","","","","0"
"2013-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14020","","","","0"
"2013-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14544","","","","0"
"2013-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14348","","","","0"
"2013-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14033","","","","0"
"2014-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14727","","","","0"
"2014-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15267","","","","0"
"2014-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14745","","","","0"
"2014-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14709","","","","0"
"2015-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15023","","","","0"
"2015-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15299","","","","0"
"2015-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","13906","","","","0"
"2015-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14096","","","","0"
"2016-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","14586","","","","0"
"2016-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15507","","","","0"
"2016-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15726","","","","0"
"2016-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15967","","","","0"
"2017-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","15620","","","","0"
"2017-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","16022","","","","0"
"2017-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","16432","","","","0"
"2017-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","16434","","","","0"
"2018-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","16899","","","","0"
"2018-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Farm, fishing and intermediate food products [C11]","Dollars","81","millions","6","v1014909616","1.1.1.2.3","17066","","","","0"
